,ticker,name,sectors,industry
178,BAJAJCON,Bajaj Consumer Care Limited,Consumer Defensive,Household & Personal Products
179,BAJAJELEC,Bajaj Electricals Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
180,BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,Financial Conglomerates
181,BAJAJHCARE,Bajaj HealthCare Limited,Healthcare,Drug Manufacturers—Specialty & Generic
182,BAJAJHIND,Bajaj Hindusthan Sugar Limited,Consumer Defensive,Confectioners
183,BAJAJHLDNG,Bajaj Holdings & Investment Limited,Financial Services,Asset Management
184,BAJFINANCE,Bajaj Finance Limited,Financial Services,Credit Services
185,BALAJITELE,Balaji Telefilms Limited,Communication Services,Entertainment
186,BALAMINES,Balaji Amines Limited,Basic Materials,Specialty Chemicals
187,BALAXI,N/A,N/A,N/A
188,BALKRISHNA,Balkrishna Paper Mills Limited,Consumer Cyclical,Packaging & Containers
189,BALKRISIND,Balkrishna Industries Limited,Consumer Cyclical,Auto Parts
190,BALLARPUR,Ballarpur Industries Limited,Basic Materials,Paper & Paper Products
191,BALMLAWRIE,Balmer Lawrie & Co. Ltd.,Industrials,Conglomerates
192,BALPHARMA,Bal Pharma Limited,Healthcare,Drug Manufacturers—Specialty & Generic
193,BALRAMCHIN,Balrampur Chini Mills Limited,Consumer Defensive,Confectioners
194,BANARBEADS,Banaras Beads Limited,Consumer Cyclical,Footwear & Accessories
195,BANARISUG,Bannari Amman Sugars Limited,Consumer Defensive,Confectioners
196,BANCOINDIA,Banco Products (India) Limited,Consumer Cyclical,Auto Parts
197,BANDHANBNK,Bandhan Bank Limited,Financial Services,Banks—Regional
198,BANG,Bang Overseas Limited,Consumer Cyclical,Apparel Manufacturing
199,BANKA,Banka BioLoo Limited,Industrials,Pollution & Treatment Controls
200,BANKBARODA,Bank of Baroda,Financial Services,Banks—Regional
201,BANKINDIA,Bank of India Limited,Financial Services,Banks—Regional
202,BANSWRAS,Banswara Syntex Limited,Consumer Cyclical,Textile Manufacturing
203,BARBEQUE,Barbeque-Nation Hospitality Limited,Consumer Cyclical,Restaurants
204,BARTRONICS,Bartronics India Limited,Technology,Information Technology Services
205,BASF,BASF India Limited,Basic Materials,Specialty Chemicals
206,BASML,Bannari Amman Spinning Mills Ltd,Consumer Cyclical,Textile Manufacturing
207,BATAINDIA,Bata India Limited,Consumer Cyclical,Footwear & Accessories
208,BAYERCROP,Bayer CropScience Limited,Basic Materials,Agricultural Inputs
209,BBL,Bharat Bijlee Limited,Industrials,Electrical Equipment & Parts
210,BBOX,Black Box Limited,Technology,Software—Application
211,BBTC,"The Bombay Burmah Trading Corporation, Limited",Consumer Defensive,Packaged Foods
212,BCG,Brightcom Group Limited,Communication Services,Advertising Agencies
213,BCLIND,BCL Industries Limited,Consumer Defensive,Household & Personal Products
214,BCONCEPTS,Brand Concepts Limited,Consumer Cyclical,Footwear & Accessories
215,BCP,B.C. Power Controls Limited,Industrials,Electrical Equipment & Parts
216,BDL,Bharat Dynamics Limited,Industrials,Aerospace & Defense
217,BEARDSELL,Beardsell Limited,Industrials,Building Products & Equipment
218,BECTORFOOD,Mrs. Bectors Food Specialities Limited,Consumer Defensive,Packaged Foods
219,BEDMUTHA,Bedmutha Industries Limited,Basic Materials,Steel
220,BEL,Bharat Electronics Limited,Industrials,Aerospace & Defense
221,BEML,BEML Limited,Industrials,Conglomerates
222,BEPL,Bhansali Engineering Polymers Limited,Basic Materials,Chemicals
223,BERGEPAINT,Berger Paints India Limited,Basic Materials,Specialty Chemicals
224,BESTAGRO,Best Agrolife Limited,Basic Materials,Agricultural Inputs
225,BFINVEST,BF Investment Limited,Financial Services,Asset Management
226,BFUTILITIE,BF Utilities Limited,Utilities,Utilities—Renewable
227,BGRENERGY,BGR Energy Systems Limited,Industrials,Engineering & Construction
228,BHAGCHEM,Bhagiradha Chemicals & Industries Limited,Basic Materials,Agricultural Inputs
229,BHAGERIA,Bhageria Industries Limited,Basic Materials,Specialty Chemicals
